platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
otns,fast-attach-corrected,3,parent_response_ack_to_child_id_request_ms,100,2.37168,2.842376793452901,1.896,1.0400000000000003,0.616,1.176,2.216,8.087999999999994,0.616,17.064,1.692
hardware,fast-attach-corrected,3,parent_response_ack_to_child_id_request_ms,100,7.83622978,2.45246948574104,7.3421,1.627624,5.3380370500000005,6.400585,8.028209,12.76953255,5.191088,18.526077,7.3889970375
otns,fast-attach-corrected,3,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,fast-attach-corrected,3,child_id_request_to_ack_ms,100,3.84768724,0.0005168827723999857,3.8479565,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.848791,3.847721175
otns,fast-attach-corrected,3,child_id_request_ack_to_child_id_response_ms,100,2.3536,2.4299300068898773,1.576,0.9600000000000002,0.616,1.256,2.216,8.007999999999997,0.616,15.656,1.808
hardware,fast-attach-corrected,3,child_id_request_ack_to_child_id_response_ms,100,10.56742193,2.7590629132568467,10.052085,1.6245247500000009,8.473659,9.214043499999999,10.83856825,14.994537849999997,8.341074,28.862,10.0319832625
otns,fast-attach-corrected,4,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,fast-attach-corrected,4,parent_request_to_ack_ms,,,,,,,,,,,,
otns,fast-attach-corrected,4,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,fast-attach-corrected,4,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,fast-attach-corrected,4,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,fast-attach-corrected,4,parent_response_to_ack_ms,100,4.00749456,0.0005109658574451937,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.008055,4.00750345
otns,fast-attach-corrected,4,parent_response_ack_to_child_id_request_ms,100,1.95936,1.556854920289069,1.576,0.9600000000000002,0.616,1.256,2.216,4.456,0.616,13.736,1.704
hardware,fast-attach-corrected,4,parent_response_ack_to_child_id_request_ms,100,8.38589195,4.244248230499903,7.077098,1.6285182500000008,5.6418422,6.38538625,8.0139045,15.490782099999988,5.372047,31.306028,7.3653012875
otns,fast-attach-corrected,4,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
